ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
37069574,Babyrousa bolabatuensis,Babyrousa_bolabatuensis,Artiodactyla,Suidae,Babyrousa,bolabatuensis,0,3,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,80,2,NA,0,NA,NA,NA,NA,NA,NA,NA
4445606,Babyrousa celebensis,Babyrousa_celebensis,Artiodactyla,Suidae,Babyrousa,celebensis,0,3,100000,NA,NA,NA,NA,NA,NA,6,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,100,2,NA,0,NA,3,NA,NA,NA,48,NA
4472391,Babyrousa togeanensis,Babyrousa_togeanensis,Artiodactyla,Suidae,Babyrousa,togeanensis,0,3,100000,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,100,2,NA,0,NA,1,NA,NA,NA,NA,NA
308533,Beatragus hunteri,Beatragus_hunteri,Artiodactyla,Bovidae,Beatragus,hunteri,0,2,79132.17,NA,1600,NA,NA,NA,NA,1,NA,252.28,1,NA,NA,NA,1,NA,182.04,8350,NA,0.42,NA,NA,13.5,2,1,1,NA,NA,NA,4,3.16,2,1,2,42,30,2,1,NA,2,79,NA,2,0,24,2,1,15826.434,15826.434,NA,4
328109,Bison bison,Bison_bison,Artiodactyla,Bovidae,Bison,bison,0,2,624577.07,NA,2849.24,NA,1095,NA,NA,2,NA,283.17,2,47.39,65.71,399,0.98,1,396,20000,NA,0.28,1000,921.77,30,NA,1,1,287.32,157500,NA,4,12.48,2,1,3,36,30,2,0.98,452,2,624,2,1,0,25,1,1,124915.414,124915.414,57.5,47.39
328110,Bison bonasus,Bison_bonasus,Artiodactyla,Bovidae,Bison,bonasus,0,2,675876.7,NA,2900,NA,1068.38,NA,NA,2,NA,265.99,2,7.91,7.42,638.75,1,1,324,23358.61,NA,0.88,NA,841.82,35,NA,1,1,287.32,NA,NA,4,13.5,2,1,3,24,36,2,1,641,2,675,2,1,0,27,3,1,135175.34,135175.34,65,7.91
308478,Blastocerus dichotomus,Blastocerus_dichotomus,Artiodactyla,Cervidae,Blastocerus,dichotomus,0,2,112518.53,NA,1720,NA,NA,NA,NA,3,NA,272.37,1,NA,NA,NA,0.98,1,NA,4199.99,NA,0.12,NA,NA,3,NA,1,1,NA,NA,NA,NA,4.48,NA,2,2,NA,NA,NA,0.98,NA,NA,112,2,NA,1,NA,1,1,22503.706,22503.706,NA,NA
311908,Boselaphus tragocamelus,Boselaphus_tragocamelus,Artiodactyla,Bovidae,Boselaphus,tragocamelus,0,2,182253.04,NA,2000,NA,912.5,NA,NA,5,NA,248.49,NA,NA,NA,400.5,1.39,NA,260.4,5875,NA,2.39,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7.28,2,2,1,NA,26.7945,NA,1.39,365,1,182,2,2,1,21,2,1,36450.608,36450.608,48,15.05
328706,Bos sauveli,Bos_sauveli,Artiodactyla,Bovidae,Bos,sauveli,0,2,791321.76,NA,2175,NA,NA,NA,NA,2,NA,255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755.15,20,NA,1,1,NA,NA,NA,4,15.82,2,1,1,NA,NA,NA,1,NA,2,791,2,NA,0,NA,3,1,158264.352,158264.352,NA,15
328727,Bubalus depressicornis,Bubalus_depressicornis,Artiodactyla,Bovidae,Bubalus,depressicornis,0,3,256989.27,NA,1728.58,NA,NA,NA,NA,3,NA,295.78,1,NA,NA,NA,1,1,432.96,NA,NA,NA,NA,755.15,1,NA,1,1,NA,NA,NA,6,5.12,1,2,4,24,24,NA,1,NA,1,256,2,NA,0,36,1,1,51397.854,51397.854,NA,1.2
